
Episode: 54, total numsteps: 27000, episode steps: 500, reward: [177.35675193 180.48903002 185.60426263 187.92217844 185.19203975]
Episode: 55, total numsteps: 27500, episode steps: 500, reward: [176.74942767 183.24203017 186.02675136 190.94156087 185.50938853]
Episode: 56, total numsteps: 28000, episode steps: 500, reward: [174.41752094 181.14295485 183.02809404 187.51893314 184.05664588]
Episode: 57, total numsteps: 28500, episode steps: 500, reward: [176.65925131 183.33191929 183.26990629 188.07353326 187.13119004]
Episode: 58, total numsteps: 29000, episode steps: 500, reward: [177.14724592 182.47495444 185.60262193 189.13771497 183.55606382]
Episode: 59, total numsteps: 29500, episode steps: 500, reward: [176.02150107 181.51740482 178.92886593 191.0214787  187.95038387]
Episode: 60, total numsteps: 30000, episode steps: 500, reward: [176.81368468 182.377314   185.04141283 188.32345409 187.71430685]
Episode: 61, total numsteps: 30500, episode steps: 500, reward: [180.39389315 182.83722    183.48384261 187.94549358 188.30743226]
Episode: 62, total numsteps: 31000, episode steps: 500, reward: [177.05416478 183.21432077 183.14810751 188.71383524 183.30651164]
Episode: 63, total numsteps: 31500, episode steps: 500, reward: [179.53163329 183.22048633 185.56774172 187.07757703 184.41618255]
Episode: 64, total numsteps: 32000, episode steps: 500, reward: [177.66771179 183.99992267 185.32859653 187.91847603 184.61833608]
Episode: 65, total numsteps: 32500, episode steps: 500, reward: [178.13933897 180.12743505 184.31383676 187.48429651 185.71814141]
Episode: 66, total numsteps: 33000, episode steps: 500, reward: [174.65292477 183.05573305 187.25282637 186.91694063 186.7243472 ]
Episode: 67, total numsteps: 33500, episode steps: 500, reward: [177.89622684 182.26183161 183.16373698 187.76648353 186.95930449]
Episode: 68, total numsteps: 34000, episode steps: 500, reward: [178.63327631 183.3167105  183.73020857 190.74585548 183.62504103]
Episode: 69, total numsteps: 34500, episode steps: 500, reward: [177.99828242 180.71896235 184.2061433  188.47453268 187.4634881 ]
Episode: 70, total numsteps: 35000, episode steps: 500, reward: [177.54551656 181.87266635 184.64109046 187.53487378 187.38926313]
Episode: 71, total numsteps: 35500, episode steps: 500, reward: [176.19750353 183.2406717  183.81567514 187.81764993 185.57516979]
Episode: 72, total numsteps: 36000, episode steps: 500, reward: [177.23346257 180.42489236 185.13385858 187.50172765 186.24413985]
Episode: 73, total numsteps: 36500, episode steps: 500, reward: [176.62531868 182.9351903  184.80791383 188.77630239 185.52921981]
Episode: 74, total numsteps: 37000, episode steps: 500, reward: [176.02403128 182.4469046  181.91917857 190.40156833 186.56525678]
