Episode: 49, total numsteps: 49000, episode steps: 1000, reward: [-666.17685611 -425.95250856 -470.07610294 -310.00612988 -394.88259704]
Episode: 50, total numsteps: 50000, episode steps: 1000, reward: [-680.13230067 -427.23487159 -465.56122723 -310.00612986 -394.91292724]
Episode: 51, total numsteps: 51000, episode steps: 1000, reward: [-660.0234023  -425.47405786 -462.2178038  -310.00612989 -396.45699281]
Episode: 52, total numsteps: 52000, episode steps: 1000, reward: [-663.25216662 -423.80284871 -468.50420514 -310.0061299  -395.50387592]
Episode: 53, total numsteps: 53000, episode steps: 1000, reward: [-673.09252795 -427.75860887 -462.1559365  -310.0061299  -398.55605586]
Episode: 54, total numsteps: 54000, episode steps: 1000, reward: [-662.69242056 -425.47405786 -461.2170842  -310.00612989 -391.22277516]
Episode: 55, total numsteps: 55000, episode steps: 1000, reward: [-666.02881698 -425.37742884 -463.18652502 -310.00612989 -396.17171902]
Episode: 56, total numsteps: 56000, episode steps: 1000, reward: [-675.27323993 -425.47405786 -464.26676136 -310.00612989 -396.17212384]
Episode: 57, total numsteps: 57000, episode steps: 1000, reward: [-675.16590445 -425.47405786 -470.08468635 -310.0061299  -396.71914223]
Episode: 58, total numsteps: 58000, episode steps: 1000, reward: [-674.70369413 -425.50995086 -460.26839932 -310.0061299  -397.9499175 ]
Episode: 59, total numsteps: 59000, episode steps: 1000, reward: [-658.50019913 -425.97987259 -462.29937188 -310.0061299  -397.38951938]
Episode: 60, total numsteps: 60000, episode steps: 1000, reward: [-669.99187773 -425.92858023 -462.738652   -310.00612991 -397.4449344 ]
Episode: 61, total numsteps: 61000, episode steps: 1000, reward: [-673.23043359 -426.08102596 -462.54083782 -310.00612989 -396.39264635]
Episode: 62, total numsteps: 62000, episode steps: 1000, reward: [-675.34388119 -423.65357677 -476.36929324 -310.00612989 -394.74082926]
Episode: 63, total numsteps: 63000, episode steps: 1000, reward: [-665.86699759 -425.4505427  -464.59219876 -310.0061299  -398.23279159]
Episode: 64, total numsteps: 64000, episode steps: 1000, reward: [-665.88748053 -427.55363736 -461.83869061 -310.00612991 -397.18508022]
Episode: 65, total numsteps: 65000, episode steps: 1000, reward: [-666.27844895 -424.7378502  -467.69244525 -310.00612989 -396.44565625]
Episode: 66, total numsteps: 66000, episode steps: 1000, reward: [-665.2889274  -425.36097176 -456.68887718 -310.0061299  -398.73205303]
Episode: 67, total numsteps: 67000, episode steps: 1000, reward: [-665.62173553 -427.19295022 -459.09705244 -310.00612989 -395.27961175]
Episode: 68, total numsteps: 68000, episode steps: 1000, reward: [-676.85010411 -425.74409416 -463.51319706 -310.0061299  -398.62074866]
Episode: 69, total numsteps: 69000, episode steps: 1000, reward: [-668.92961479 -426.97339248 -468.01793908 -310.00612989 -400.27932614]
Episode: 70, total numsteps: 70000, episode steps: 1000, reward: [-669.788454   -426.02520938 -468.16767358 -310.00612989 -396.68050434]
Episode: 71, total numsteps: 71000, episode steps: 1000, reward: [-669.59736363 -425.01279581 -470.6521615  -310.00612989 -392.78919174]
Episode: 72, total numsteps: 72000, episode steps: 1000, reward: [-667.71728484 -425.59887783 -462.04216513 -310.00612989 -393.07778267]
Episode: 73, total numsteps: 73000, episode steps: 1000, reward: [-685.4891966  -423.67201405 -466.81361981 -310.00612989 -397.13074567]
Episode: 74, total numsteps: 74000, episode steps: 1000, reward: [-670.83032885 -423.84591711 -469.51581509 -310.0061299  -395.62193876]
Episode: 75, total numsteps: 75000, episode steps: 1000, reward: [-648.28780148 -426.01403147 -463.66006591 -310.00612989 -396.1175783 ]
Episode: 76, total numsteps: 76000, episode steps: 1000, reward: [-668.53297494 -425.361367   -458.81548845 -310.0061299  -395.71517629]
Episode: 77, total numsteps: 77000, episode steps: 1000, reward: [-676.96623572 -426.87217655 -469.50967026 -310.00612989 -395.77392763]
Episode: 78, total numsteps: 78000, episode steps: 1000, reward: [-680.80211558 -425.28827112 -469.86030185 -310.00612989 -395.14509323]
Episode: 79, total numsteps: 79000, episode steps: 1000, reward: [-676.01193807 -426.00169423 -460.93536861 -310.0061299  -397.75836683]
Episode: 80, total numsteps: 80000, episode steps: 1000, reward: [-684.59883631 -424.1406287  -461.50464848 -310.0061299  -398.99106512]
Episode: 81, total numsteps: 81000, episode steps: 1000, reward: [-651.54567226 -426.00128105 -466.25081547 -310.00612989 -393.85515858]
Episode: 82, total numsteps: 82000, episode steps: 1000, reward: [-687.42734887 -424.55202995 -463.84570165 -310.00612989 -396.03058448]
Episode: 83, total numsteps: 83000, episode steps: 1000, reward: [-676.82259926 -425.78699977 -465.41476409 -310.0061299  -396.30575863]
Episode: 84, total numsteps: 84000, episode steps: 1000, reward: [-668.6673616  -426.02520938 -472.3477397  -310.00612989 -396.04596994]
Episode: 85, total numsteps: 85000, episode steps: 1000, reward: [-673.13869882 -425.91212321 -462.88729504 -310.00612989 -396.77731434]
Episode: 86, total numsteps: 86000, episode steps: 1000, reward: [-665.7742855  -425.58053698 -466.09956247 -310.00612989 -396.00758809]
Episode: 87, total numsteps: 87000, episode steps: 1000, reward: [-664.75166537 -426.99216029 -467.59354329 -310.00612989 -395.97860421]
Episode: 88, total numsteps: 88000, episode steps: 1000, reward: [-653.26697631 -425.79742031 -457.23190194 -310.0061299  -395.21371222]
Episode: 89, total numsteps: 89000, episode steps: 1000, reward: [-683.03838746 -426.41958253 -464.13109179 -310.00612989 -394.151073  ]
Episode: 90, total numsteps: 90000, episode steps: 1000, reward: [-665.43723347 -426.76228002 -464.93995528 -310.00612989 -395.1296616 ]
Episode: 91, total numsteps: 91000, episode steps: 1000, reward: [-666.35017076 -426.04752336 -463.74461742 -310.00612989 -396.64833375]
Episode: 92, total numsteps: 92000, episode steps: 1000, reward: [-658.99817515 -425.36097176 -460.5730622  -310.00612989 -395.24565596]
Episode: 93, total numsteps: 93000, episode steps: 1000, reward: [-674.08836073 -425.18252241 -462.12638906 -310.0061299  -394.1804693 ]
