Episode: 49, total numsteps: 49000, episode steps: 1000, reward: [-475.36579098 -417.87263094 -379.14446386 -374.42701422 -340.70478145]
Episode: 50, total numsteps: 50000, episode steps: 1000, reward: [-475.36579098 -417.9529973  -379.14446386 -374.13783401 -340.70478145]
Episode: 51, total numsteps: 51000, episode steps: 1000, reward: [-475.36579098 -417.93789366 -379.14446386 -373.72021924 -340.70478145]
Episode: 52, total numsteps: 52000, episode steps: 1000, reward: [-475.36579098 -417.13278856 -379.14446386 -373.87671314 -340.70478145]
Episode: 53, total numsteps: 53000, episode steps: 1000, reward: [-475.36579098 -418.80204945 -379.14446386 -374.15576909 -340.70478145]
Episode: 54, total numsteps: 54000, episode steps: 1000, reward: [-475.36579098 -417.89161671 -379.14446386 -374.87106982 -340.70478145]
Episode: 55, total numsteps: 55000, episode steps: 1000, reward: [-475.36579098 -418.41000239 -379.14446386 -374.70034189 -340.70478145]
Episode: 56, total numsteps: 56000, episode steps: 1000, reward: [-475.36579098 -417.08014513 -379.14446386 -373.02318016 -340.70478145]
Episode: 57, total numsteps: 57000, episode steps: 1000, reward: [-475.36579098 -417.90625966 -379.14446386 -374.37507628 -340.70478145]
Episode: 58, total numsteps: 58000, episode steps: 1000, reward: [-475.36579098 -418.30338138 -379.14446386 -374.05035505 -340.70478145]
Episode: 59, total numsteps: 59000, episode steps: 1000, reward: [-475.36579098 -418.47090005 -379.14446386 -373.86923135 -340.70478145]
Episode: 60, total numsteps: 60000, episode steps: 1000, reward: [-475.36579098 -417.53281018 -379.14446386 -375.22128352 -340.70158851]
Episode: 61, total numsteps: 61000, episode steps: 1000, reward: [-475.36579098 -417.33890335 -379.14446386 -373.81413439 -340.70478145]
Episode: 62, total numsteps: 62000, episode steps: 1000, reward: [-475.36579098 -418.04766951 -379.14446386 -374.01130001 -340.70478145]
Episode: 63, total numsteps: 63000, episode steps: 1000, reward: [-475.36579098 -417.70850254 -379.14446386 -374.56728149 -340.70478145]
Episode: 64, total numsteps: 64000, episode steps: 1000, reward: [-475.36579098 -418.30339423 -379.14446386 -374.4566877  -340.70478145]
Episode: 65, total numsteps: 65000, episode steps: 1000, reward: [-475.36579098 -418.58783963 -379.14446386 -374.31348109 -340.70478145]
Episode: 66, total numsteps: 66000, episode steps: 1000, reward: [-475.36579098 -418.01377284 -379.14446386 -374.47393084 -340.70478145]
Episode: 67, total numsteps: 67000, episode steps: 1000, reward: [-475.36579098 -418.56146697 -379.14446386 -374.38819933 -340.70478145]
Episode: 68, total numsteps: 68000, episode steps: 1000, reward: [-475.36579098 -417.82654247 -379.14446386 -374.13963502 -340.70478145]
Episode: 69, total numsteps: 69000, episode steps: 1000, reward: [-475.36579098 -417.64121395 -379.14446386 -374.32073643 -340.70478145]
Episode: 70, total numsteps: 70000, episode steps: 1000, reward: [-475.36579098 -417.93564127 -379.14446386 -374.7329842  -340.70478145]
Episode: 71, total numsteps: 71000, episode steps: 1000, reward: [-475.36579098 -418.46487075 -379.14446386 -374.26519523 -340.70478145]
Episode: 72, total numsteps: 72000, episode steps: 1000, reward: [-475.36579098 -418.30396336 -379.14446386 -375.17827385 -340.70478145]
Episode: 73, total numsteps: 73000, episode steps: 1000, reward: [-475.36579098 -418.32756823 -379.14446386 -373.4160651  -340.70478145]
Episode: 74, total numsteps: 74000, episode steps: 1000, reward: [-475.36579098 -417.0911506  -379.14446386 -374.18089291 -340.70478145]
Episode: 75, total numsteps: 75000, episode steps: 1000, reward: [-475.36579098 -417.39904005 -379.14446386 -374.83547065 -340.70478145]
Episode: 76, total numsteps: 76000, episode steps: 1000, reward: [-475.36579098 -417.46821101 -379.14446386 -374.10556461 -340.70478145]
Episode: 77, total numsteps: 77000, episode steps: 1000, reward: [-475.36579098 -417.63212246 -379.14446386 -374.01368931 -340.70478145]
Episode: 78, total numsteps: 78000, episode steps: 1000, reward: [-475.36579098 -417.90354873 -379.14022326 -374.20111863 -340.70478145]
Episode: 79, total numsteps: 79000, episode steps: 1000, reward: [-475.36579098 -417.49240886 -379.14446386 -374.39238288 -340.70478145]
