
Episode: 50, total numsteps: 25000, episode steps: 500, reward: [-395.44918202 -338.34667867 -305.49650431 -290.85061617 -323.84401214]
Episode: 51, total numsteps: 25500, episode steps: 500, reward: [-401.66980036 -350.64135719 -317.07075634 -282.10550164 -325.52408108]
Episode: 52, total numsteps: 26000, episode steps: 500, reward: [-386.91286921 -338.08244342 -310.16832116 -282.21249338 -315.18972454]
Episode: 53, total numsteps: 26500, episode steps: 500, reward: [-406.61921922 -335.92189592 -338.03020196 -282.7398168  -323.94613409]
Episode: 54, total numsteps: 27000, episode steps: 500, reward: [-375.66879767 -345.85300406 -304.87008404 -284.10086496 -321.34205653]
Episode: 55, total numsteps: 27500, episode steps: 500, reward: [-380.23617237 -338.30425016 -330.42194548 -271.90328305 -325.31508138]
Episode: 56, total numsteps: 28000, episode steps: 500, reward: [-394.37838143 -344.52907225 -330.30397167 -294.92485442 -329.80660599]
Episode: 57, total numsteps: 28500, episode steps: 500, reward: [-393.688433   -336.2184682  -316.62321762 -289.61397855 -303.470447  ]
Episode: 58, total numsteps: 29000, episode steps: 500, reward: [-388.11163937 -338.00899105 -309.93925324 -283.54725522 -320.36011727]
Episode: 59, total numsteps: 29500, episode steps: 500, reward: [-389.37832284 -344.85059605 -345.33493791 -282.14229204 -305.02117715]
Episode: 60, total numsteps: 30000, episode steps: 500, reward: [-392.09166434 -333.8696472  -316.45948555 -288.32788166 -320.05255415]
Episode: 61, total numsteps: 30500, episode steps: 500, reward: [-377.80653    -337.85826258 -330.67802949 -285.1105248  -321.51453415]
Episode: 62, total numsteps: 31000, episode steps: 500, reward: [-386.75903868 -323.11019245 -320.72676069 -300.63643017 -338.57099598]
Episode: 63, total numsteps: 31500, episode steps: 500, reward: [-372.42117327 -334.09554054 -319.03313618 -270.72984965 -322.02841481]
Episode: 64, total numsteps: 32000, episode steps: 500, reward: [-388.31293828 -323.2900959  -323.1004225  -285.70484084 -322.61689367]
Episode: 65, total numsteps: 32500, episode steps: 500, reward: [-391.37022176 -324.8863152  -328.07124257 -293.68794425 -328.08284018]
Episode: 66, total numsteps: 33000, episode steps: 500, reward: [-400.44632648 -322.70837232 -298.79153941 -292.86055034 -345.96248435]
Episode: 67, total numsteps: 33500, episode steps: 500, reward: [-366.28232775 -332.86632352 -324.45803479 -303.35038981 -315.35946912]
Episode: 68, total numsteps: 34000, episode steps: 500, reward: [-394.30338925 -317.55211272 -327.71305935 -270.55363445 -329.78165149]
Episode: 69, total numsteps: 34500, episode steps: 500, reward: [-391.09692101 -348.29835842 -322.74005933 -293.89208963 -317.01470903]
Episode: 70, total numsteps: 35000, episode steps: 500, reward: [-384.01209035 -334.23684149 -324.36872131 -304.37476029 -308.22965327]
Episode: 71, total numsteps: 35500, episode steps: 500, reward: [-401.293474   -327.40883777 -332.79634087 -288.05497046 -322.88337414]
Episode: 72, total numsteps: 36000, episode steps: 500, reward: [-375.07398759 -354.04262881 -334.54032109 -287.33743455 -324.17111201]
Episode: 73, total numsteps: 36500, episode steps: 500, reward: [-393.8809588  -331.65563788 -323.54152123 -293.29566804 -307.21054208]
Episode: 74, total numsteps: 37000, episode steps: 500, reward: [-388.29871981 -327.73617598 -329.13953612 -276.68303488 -317.52194782]
Episode: 75, total numsteps: 37500, episode steps: 500, reward: [-401.85146738 -330.09453495 -332.1189087  -304.74295092 -328.29545963]
Episode: 76, total numsteps: 38000, episode steps: 500, reward: [-393.68051081 -330.98602763 -304.05262017 -300.6696212  -331.51281859]
Episode: 77, total numsteps: 38500, episode steps: 500, reward: [-387.85320529 -335.5740619  -324.56371098 -296.71861825 -316.94871858]
Episode: 78, total numsteps: 39000, episode steps: 500, reward: [-385.93679365 -345.31293888 -318.07610403 -282.60645169 -333.24572003]
Episode: 79, total numsteps: 39500, episode steps: 500, reward: [-374.68341479 -321.46131726 -317.0301627  -302.08080718 -335.24949402]
Episode: 80, total numsteps: 40000, episode steps: 500, reward: [-383.61790606 -335.53744998 -323.8108263  -295.70322261 -313.67333263]
Episode: 81, total numsteps: 40500, episode steps: 500, reward: [-374.94849374 -337.5295463  -324.6013763  -275.05209351 -339.45137606]
Episode: 82, total numsteps: 41000, episode steps: 500, reward: [-372.17992327 -350.77229236 -317.0408298  -304.22238689 -336.3975493 ]
Episode: 83, total numsteps: 41500, episode steps: 500, reward: [-398.54621134 -329.64212802 -328.8965176  -286.37231276 -321.2770372 ]
Episode: 84, total numsteps: 42000, episode steps: 500, reward: [-396.29309809 -320.25213959 -330.25427699 -285.25427883 -311.74280266]
Episode: 85, total numsteps: 42500, episode steps: 500, reward: [-368.08195955 -345.06077985 -333.14117055 -284.96919026 -318.48275225]
Episode: 86, total numsteps: 43000, episode steps: 500, reward: [-380.77620592 -361.99799227 -322.82105863 -295.06125543 -307.23502309]
Episode: 87, total numsteps: 43500, episode steps: 500, reward: [-368.56654422 -334.39958371 -313.08974814 -286.13501338 -326.81500725]
Episode: 88, total numsteps: 44000, episode steps: 500, reward: [-397.93801819 -337.82757756 -331.15355187 -292.74500115 -324.14766342]
Episode: 89, total numsteps: 44500, episode steps: 500, reward: [-388.43305059 -335.26371112 -315.16979472 -300.25754861 -324.95854726]
Episode: 90, total numsteps: 45000, episode steps: 500, reward: [-377.61889296 -344.80456288 -326.81178166 -264.83491258 -318.92827174]
Episode: 91, total numsteps: 45500, episode steps: 500, reward: [-373.05485266 -323.93558959 -330.87693491 -275.29795593 -305.65177175]
Episode: 92, total numsteps: 46000, episode steps: 500, reward: [-387.33305287 -326.99560263 -330.6598924  -288.46982122 -336.81545075]
Episode: 93, total numsteps: 46500, episode steps: 500, reward: [-379.04097976 -328.33923968 -330.26796821 -282.95694538 -320.16797004]
Episode: 94, total numsteps: 47000, episode steps: 500, reward: [-382.23167185 -340.01040034 -318.16452727 -291.47818096 -324.71401125]
Episode: 95, total numsteps: 47500, episode steps: 500, reward: [-390.86630009 -331.12996864 -335.02525538 -292.00169316 -307.91376245]
Episode: 96, total numsteps: 48000, episode steps: 500, reward: [-385.54097765 -334.75726851 -326.98229745 -276.09655528 -323.74513616]
Episode: 97, total numsteps: 48500, episode steps: 500, reward: [-380.9714347  -338.16573183 -308.87239267 -286.72556323 -324.03158857]
Episode: 98, total numsteps: 49000, episode steps: 500, reward: [-369.42620837 -335.12063264 -328.82576682 -294.09561147 -318.84359146]
Episode: 99, total numsteps: 49500, episode steps: 500, reward: [-384.74612057 -338.27902503 -329.08962213 -294.58367412 -314.08449916]
Episode: 100, total numsteps: 50000, episode steps: 500, reward: [-397.80424205 -332.96004    -315.57698104 -295.09205821 -315.56246482]
Episode: 101, total numsteps: 50500, episode steps: 500, reward: [-373.74793252 -352.77065264 -316.64493719 -280.62498781 -332.1844247 ]
Episode: 102, total numsteps: 51000, episode steps: 500, reward: [-403.6620962  -329.03720203 -322.00997854 -272.73524523 -314.15278364]
Episode: 103, total numsteps: 51500, episode steps: 500, reward: [-374.40011069 -319.56809564 -319.91789838 -281.26112249 -319.91309166]
Episode: 104, total numsteps: 52000, episode steps: 500, reward: [-401.4156506  -328.06180642 -314.55900273 -307.68524191 -335.89335567]
Episode: 105, total numsteps: 52500, episode steps: 500, reward: [-384.85906839 -347.30652941 -336.93139946 -313.9204034  -321.68569453]
Episode: 106, total numsteps: 53000, episode steps: 500, reward: [-382.05692774 -353.04639561 -326.89704142 -298.07325448 -306.28573487]
Episode: 107, total numsteps: 53500, episode steps: 500, reward: [-378.31019793 -330.29080881 -313.35875596 -301.3828927  -317.23582431]
Episode: 108, total numsteps: 54000, episode steps: 500, reward: [-385.73381092 -325.36535686 -334.03551025 -292.98507464 -313.1867152 ]
Episode: 109, total numsteps: 54500, episode steps: 500, reward: [-403.9445198  -332.59471407 -335.92700675 -295.09611542 -296.38848238]
Episode: 110, total numsteps: 55000, episode steps: 500, reward: [-365.87661037 -341.53658214 -312.67859791 -284.96981685 -323.23197946]
Episode: 111, total numsteps: 55500, episode steps: 500, reward: [-398.9310248  -337.67019104 -307.31990599 -292.20339461 -312.59115249]
Episode: 112, total numsteps: 56000, episode steps: 500, reward: [-384.34778619 -345.36509656 -328.08942834 -304.49159105 -311.45884618]
Episode: 113, total numsteps: 56500, episode steps: 500, reward: [-394.5674228  -335.53541645 -327.30463308 -287.67605936 -301.75709873]
Episode: 114, total numsteps: 57000, episode steps: 500, reward: [-391.08931821 -344.12926623 -329.01746894 -297.18243059 -304.57028243]
Episode: 115, total numsteps: 57500, episode steps: 500, reward: [-384.17515079 -329.71853008 -317.55201237 -292.87991921 -331.86144721]
Episode: 116, total numsteps: 58000, episode steps: 500, reward: [-387.46846501 -336.9558609  -316.87783871 -289.79155349 -319.90927477]
Episode: 117, total numsteps: 58500, episode steps: 500, reward: [-402.86881852 -342.93071905 -314.7091984  -301.30462744 -309.02792299]
Episode: 118, total numsteps: 59000, episode steps: 500, reward: [-379.80252677 -326.46737681 -342.15413859 -285.98050069 -320.94429835]
Episode: 119, total numsteps: 59500, episode steps: 500, reward: [-397.50536662 -338.06037495 -337.00485093 -296.08282782 -312.98382138]
Episode: 120, total numsteps: 60000, episode steps: 500, reward: [-387.76155202 -340.07963455 -332.87360715 -300.55608455 -320.8088949 ]
Episode: 121, total numsteps: 60500, episode steps: 500, reward: [-385.53641615 -341.71374421 -326.27964099 -272.36381054 -314.91296217]
Episode: 122, total numsteps: 61000, episode steps: 500, reward: [-379.63351944 -350.00493046 -320.4820089  -294.75976153 -330.15463256]
Episode: 123, total numsteps: 61500, episode steps: 500, reward: [-382.04334349 -332.68882603 -324.35348274 -275.64788853 -326.20423657]
Episode: 124, total numsteps: 62000, episode steps: 500, reward: [-393.00931134 -338.68065911 -317.78118903 -280.80207546 -336.61658264]
Episode: 125, total numsteps: 62500, episode steps: 500, reward: [-379.36582441 -346.55813783 -312.21503721 -278.08511767 -326.83710229]
Episode: 126, total numsteps: 63000, episode steps: 500, reward: [-380.95267827 -355.98869176 -311.67866307 -271.54457742 -328.76203423]
